symbol,tv_ticker,sector,industry,description,grade,pass_tf,on_list,w1_score,d1_score,score,price,note
EXTR,NASDAQ:EXTR,Electronic technology,Computer peripherals,"Extreme Networks, Inc.",B,,False,0,2,2,31.85,W1 0/3：未達 | D1 2/3：量價配合
FDX,NYSE:FDX,Transportation,Air freight/Couriers,FedEx Corporation,B,,False,0,2,2,328.78,W1 0/3：未達 | D1 2/3：量價配合
FLEX,NASDAQ:FLEX,Electronic technology,Electronic production equipment,Flex Ltd.,B,,False,0,2,2,155.81,W1 0/3：未達 | D1 2/3：量價配合
FLNC,NASDAQ:FLNC,Producer manufacturing,Electrical products,"Fluence Energy, Inc.",B,,False,0,2,2,25.19,W1 0/3：未達 | D1 2/3：量價配合
FLS,NYSE:FLS,Producer manufacturing,Industrial machinery,Flowserve Corporation,B,,False,0,2,2,81.58,W1 0/3：未達 | D1 2/3：量價配合
GE,NYSE:GE,Electronic technology,Aerospace & defense,GE Aerospace,C,,False,1,1,2,355.12,W1 1/3：MA轉上 | D1 1/3：跌K量低
GRMN,NYSE:GRMN,Electronic technology,Telecommunications equipment,Garmin Ltd.,B,,False,0,2,2,236.34,W1 0/3：未達 | D1 2/3：量價配合
GSAT,NASDAQ:GSAT,Communications,Wireless telecommunications,"Globalstar, Inc.",B,,False,2,0,2,79.81,W1 2/3：量價配合 | D1 0/3：未達
HBAN,NASDAQ:HBAN,Finance,Major banks,Huntington Bancshares Incorporated,B,,False,0,2,2,17.05,W1 0/3：未達 | D1 2/3：量價配合
HEI,NYSE:HEI,Electronic technology,Aerospace & defense,Heico Corporation,B,,False,2,0,2,331.15,W1 2/3：量價配合 | D1 0/3：未達
HOG,NYSE:HOG,Consumer durables,Motor vehicles,"Harley-Davidson, Inc.",B,,False,2,0,2,24.69,W1 2/3：量價配合 | D1 0/3：未達
HPQ,NYSE:HPQ,Technology services,Information technology services,HP Inc.,B,,False,0,2,2,23.54,W1 0/3：未達 | D1 2/3：量價配合
HRI,NYSE:HRI,Finance,Finance/Rental/Leasing,Herc Holdings Inc.,B,,False,2,0,2,153.43,W1 2/3：量價配合 | D1 0/3：未達
HUM,NYSE:HUM,Health services,Managed health care,Humana Inc.,B,,False,2,0,2,360.72,W1 2/3：量價配合 | D1 0/3：未達
HUT,NASDAQ:HUT,Miscellaneous,Miscellaneous,Hut 8 Corp.,B,,False,2,0,2,121.04,W1 2/3：量價配合 | D1 0/3：未達
HXL,NYSE:HXL,Electronic technology,Aerospace & defense,Hexcel Corporation,B,,False,2,0,2,99.16,W1 2/3：MA轉上；跌K量低 | D1 0/3：未達
IAG,NYSE:IAG,Non-energy minerals,Precious metals,Iamgold Corporation,B,,False,0,2,2,16.91,W1 0/3：未達 | D1 2/3：量價配合
IBRX,NASDAQ:IBRX,Health technology,Pharmaceuticals: major,"ImmunityBio, Inc.",B,,False,2,0,2,7.22,W1 2/3：量價配合 | D1 0/3：未達
IFNNY,IFNNY,Electronic technology,Semiconductors,Infineon Technologies AG,B,,False,2,0,2,99.13,W1 2/3：量價配合 | D1 0/3：未達
IONQ,NYSE:IONQ,Electronic technology,Computer processing hardware,"IonQ, Inc.",B,,False,2,0,2,58.32,W1 2/3：量價配合 | D1 0/3：未達
ITUB,NYSE:ITUB,Finance,Major banks,Itau Unibanco Banco Holding SA,B,,False,0,2,2,7.93,W1 0/3：未達 | D1 2/3：量價配合
JXN,NYSE:JXN,Finance,Life/Health insurance,Jackson Financial Inc.,B,,False,0,2,2,109.38,W1 0/3：未達 | D1 2/3：量價配合
KLIC,NASDAQ:KLIC,Producer manufacturing,Industrial machinery,"Kulicke and Soffa Industries, Inc.",B,,False,0,2,2,124.22,W1 0/3：未達 | D1 2/3：量價配合
LASR,NASDAQ:LASR,Electronic technology,Semiconductors,"nLIGHT, Inc.",B,,False,2,0,2,65.2,W1 2/3：量價配合 | D1 0/3：未達
LEGN,NASDAQ:LEGN,Health technology,Pharmaceuticals: major,Legend Biotech Corporation,B,,False,2,0,2,29.34,W1 2/3：量價配合 | D1 0/3：未達
LII,NYSE:LII,Producer manufacturing,Industrial machinery,"Lennox International, Inc.",B,,False,0,2,2,536.04,W1 0/3：未達 | D1 2/3：量價配合
LOGI,NASDAQ:LOGI,Electronic technology,Computer peripherals,Logitech International S.A. - Registered Shares,B,,False,0,2,2,106.83,W1 0/3：未達 | D1 2/3：量價配合
LSCC,NASDAQ:LSCC,Electronic technology,Semiconductors,Lattice Semiconductor Corporation,B,,False,2,0,2,155.27,W1 2/3：量價配合 | D1 0/3：未達
